日期,前收盘价,开盘价,最高价,最低价,收盘价
Date,pre_close,open,high,low,close
2008/1/9,#NAME?,230.95,230.99,221.88,223.3
2008/1/10,223.3,222.5,222.85,213.7,215.12
2008/1/11,215.12,218,219.23,215.5,218.1
2008/1/14,218.1,218.85,220.25,217.6,220.1
2008/1/15,220.1,220.7,224.6,220.3,223.8
2008/1/16,223.8,220.6,220.6,215.4,215.89
2008/1/17,215.89,214.03,216.8,213.5,216.47
2008/1/18,216.47,214,214.9,212.42,214.7
2008/1/21,214.7,214.7,216.33,213.8,214.2
2008/1/22,214.2,208,209.5,204.72,206.42
2008/1/23,206.42,212,214.25,210.9,212.51
2008/1/24,212.51,213.02,217.08,212.61,216.7
2008/1/25,216.7,220.1,221.4,218.32,219.8
2008/1/28,219.8,219.6,221.97,219.2,220.33
2008/1/29,220.33,223.6,224.3,222.56,222.56
2008/1/30,222.56,221,222.05,220.01,220.1
2008/1/31,220.1,220,221.04,218.22,219.35
2008/2/1,219.35,220.61,221,218.56,218.75
2008/2/4,218.75,216,216.94,215,215.6
2008/2/5,215.6,215.5,215.58,214.7,215.26
2008/2/13,215.26,216.01,216.16,213.5,213.69
2008/2/14,213.69,214.6,216.18,214.43,216.1
2008/2/15,216.1,216,216.51,215.33,216.25
2008/2/18,216.25,215.2,215.7,214.2,215.48
2008/2/19,215.48,215.51,218.38,215.5,218.38
2008/2/20,218.38,222,222.25,219.51,219.81
2008/2/21,219.81,221.81,224.1,221.81,223.58
2008/2/22,223.58,221.5,224.45,221.5,222.45
2008/2/25,222.45,223.6,225.8,223,225.78
2008/2/26,225.78,222.96,222.96,218.92,219.43
2008/2/27,219.43,224.9,226,224.02,224.68
2008/2/28,224.68,225,225.5,223.42,223.5
2008/2/29,223.5,226,226.5,225.23,225.43
2008/3/3,225.43,226.55,228.99,226.23,228.45
2008/3/4,228.45,229.02,229.85,226.73,227.2
2008/3/5,227.2,224,224.99,223.5,224.75
2008/3/6,224.75,227,228.69,227,227.95
2008/3/7,227.95,226.5,227.63,226.5,227.58
2008/3/10,227.58,226,226,224.63,225.2
2008/3/11,225.2,225,225.47,224.11,224.6
2008/3/12,224.6,224.97,225.25,223.79,224.26
2008/3/13,224.26,226.51,226.98,225.35,226.48
2008/3/14,226.48,228,228.6,227.57,227.87
2008/3/17,227.87,231.22,233.59,231.22,232.36
2008/3/18,232.36,226,228.19,226,227.58
2008/3/19,227.58,225.5,226.29,225.5,226.2
2008/3/20,226.2,214.55,214.55,214.55,214.55
2008/3/21,214.55,209.48,210.47,207.52,210.11
2008/3/24,210.11,209.75,209.99,206.31,206.81
2008/3/25,206.81,209,210.85,208.1,210.19
2008/3/26,210.19,212.97,213.45,211.58,211.8
2008/3/27,211.8,213.98,214.5,213.1,213.3
2008/3/28,213.3,213.11,213.28,211.2,211.76
2008/3/31,211.76,209.02,209.47,208.41,208.98
2008/4/1,208.98,206.23,206.37,198.88,203.22
2008/4/2,203.22,200.18,202,198.11,199.13
2008/4/3,199.13,202,202.45,201.13,202.35
2008/4/7,202.35,205,205.5,204.05,205.36
2008/4/8,205.36,206.45,206.99,204.03,204.81
2008/4/9,204.81,204.82,204.95,202.86,203.35
2008/4/10,203.35,208,208.09,206.86,207.5
2008/4/11,207.5,206,206,204.16,204.56
2008/4/14,204.56,201.5,205.5,201.5,205.4
2008/4/15,205.4,206.2,208.65,205.8,208.62
2008/4/16,208.62,206.7,207.5,205.7,207.03
2008/4/17,207.03,209.8,211.09,209.38,210.66
2008/4/18,210.66,209,210.7,209,210.15
2008/4/21,210.15,206,206.8,204.26,204.5
2008/4/22,204.5,202,203.46,202,202.3
2008/4/23,202.3,204.97,204.97,202.5,203.4
2008/4/24,203.4,200.3,201.49,200.1,201.49
2008/4/25,201.49,198.5,198.66,197.81,198.22
2008/4/28,198.22,198.97,200.35,198.8,199.94
2008/4/29,199.94,199.5,199.75,198.25,198.62
2008/4/30,198.62,195.48,196,194.14,195.98
2008/5/5,195.98,194.99,195.39,194.21,194.63
2008/5/6,194.63,196,196.3,195.51,196.03
2008/5/7,196.03,196.5,196.78,194.8,194.96
2008/5/8,194.96,194.5,194.5,193.85,194.15
