Date,close
2015010509:10:00,240.94
2015010509:20:00,240.92
2015010509:25:00,240.92
2015010509:30:00,240.92
2015010509:35:00,240.76
2015010509:40:00,240.76
2015010509:45:00,240.82
2015010509:50:00,240.74
2015010509:55:00,240.9
2015010510:00:00,240.94
2015010510:05:00,240.7
2015010510:10:00,240.72
2015010510:15:00,240.8
2015010510:35:00,241.34
2015010510:40:00,241.46
2015010510:45:00,241.3
2015010510:50:00,241.22
2015010510:55:00,241.46
2015010511:00:00,241.32
2015010511:05:00,241.5
2015010511:10:00,241.72
2015010511:15:00,241.56
2015010511:20:00,241.52
2015010511:25:00,241.52
2015010511:30:00,241.66
2015010513:35:00,241.56
2015010513:40:00,241.56
2015010513:45:00,241.9
2015010513:50:00,242.52
2015010513:55:00,242.16
2015010514:00:00,242.22
2015010514:05:00,242.2
2015010514:10:00,242.1
2015010514:15:00,242.06
2015010514:20:00,242.1
2015010514:25:00,242.06
2015010514:30:00,242.1
2015010514:35:00,241.96
2015010514:40:00,242
2015010514:45:00,242.06
2015010514:50:00,242.1
2015010514:55:00,242.16
2015010521:10:00,240.6
2015010521:15:00,240.76
2015010521:20:00,240.72
2015010521:25:00,241.36
2015010521:30:00,241.96
2015010521:35:00,242.26
2015010521:40:00,242.2
2015010521:45:00,242.06
2015010521:50:00,242.06
2015010521:55:00,242
2015010522:00:00,241.84
2015010522:05:00,241.86
2015010522:10:00,242.16
2015010522:15:00,242.02
2015010522:20:00,242.1
2015010522:25:00,241.9
2015010522:30:00,241.94
2015010522:35:00,242.6
2015010522:40:00,242.7
2015010522:45:00,242.6
2015010522:50:00,242.7
2015010522:55:00,242.82
2015010523:00:00,242.86
2015010523:05:00,243.06
2015010523:10:00,242.9
2015010523:15:00,243.02
2015010523:20:00,242.9
2015010523:25:00,242.86
2015010523:30:00,243.2
2015010523:35:00,243.26
2015010523:40:00,243.26
2015010523:45:00,243
2015010523:50:00,242.76
2015010523:55:00,242.76
2015010600:00:00,242.76
2015010600:05:00,242.82
2015010600:10:00,242.5
2015010600:15:00,242.46
2015010600:20:00,242.56
2015010600:25:00,242.36
2015010600:30:00,242
2015010600:35:00,242.16
2015010600:40:00,242.24
2015010600:45:00,242.32
2015010600:50:00,242.32
2015010600:55:00,242.46
2015010601:00:00,242.36
2015010601:05:00,242.44
2015010601:10:00,242.46
2015010601:15:00,242.34
2015010601:20:00,242.54
2015010601:25:00,242.66
2015010601:30:00,242.66
2015010601:35:00,242.66
2015010601:40:00,242.7
2015010601:45:00,242.76
2015010601:50:00,242.84
2015010601:55:00,243.06
2015010602:00:00,243.2
2015010602:05:00,243.26
2015010602:10:00,243.12
2015010602:15:00,243.2
2015010602:20:00,243.62
2015010602:25:00,243.76
2015010602:30:00,243.8
2015010609:05:00,243.66
2015010609:15:00,243.5
2015010609:20:00,243.36
2015010609:25:00,243.5
2015010609:30:00,243.46
2015010609:35:00,243.56
2015010609:40:00,243.56
